iter	MAPE	RMSE
0	0.6318273128	1048506.933
1	0.5586303178	957136.351
2	0.558560605	957136.2706
3	0.5020377112	892206.7566
4	0.4617793835	848790.9481
5	0.4317632404	817276.3042
6	0.4093588673	798078.5646
7	0.3946418892	785964.0355
8	0.385652968	780079.6041
9	0.3735176452	769536.5146
10	0.3673444932	765490.4249
11	0.3604619017	758428.3947
12	0.358607349	757391.6225
13	0.3539760932	752378.8541
14	0.3511693998	749630.7243
15	0.3476313487	744197.4008
16	0.3444778245	740801.7897
17	0.3421290874	738545.3521
18	0.3422780401	738544.368
19	0.3423945879	738543.7655
20	0.3406836136	737085.5575
21	0.3398348103	736955.3186
22	0.3360756805	734316.2258
23	0.3355552007	733660.02
24	0.3341825295	732274.2696
25	0.3331898671	731378.8789
26	0.3313918617	729166.9977
27	0.3298122729	727823.2538
28	0.3292611212	727368.642
29	0.3280775312	725974.9624
30	0.3269878851	724096.7961
31	0.3267071095	723404.5942
32	0.3261983647	722775.6599
33	0.325434112	720945.3096
34	0.3253111121	720942.1778
35	0.3244169604	719389.4559
36	0.324430486	719389.4456
37	0.324007517	719136.6408
38	0.3234689873	717947.7414
39	0.3220743983	716639.2119
40	0.3220706797	716639.2111
41	0.3214415983	714707.5582
42	0.3214219194	714665.6091
43	0.32142215	714665.6091
44	0.3213059908	713943.2241
45	0.3211456106	713455.721
46	0.3203148047	712864.0771
47	0.3200305326	712568.6481
48	0.3199043674	711717.7377
49	0.318965895	710889.1849
50	0.318740718	709865.2213
51	0.3185017032	708735.6347
52	0.318494449	708735.6317
53	0.318245101	707394.2489
54	0.317562594	706804.0122
55	0.3175477864	706618.1079
56	0.3173468516	706267.3545
57	0.3166602374	705377.5153
58	0.3162012151	704231.242
59	0.3161247339	703904.6338
60	0.3151684052	701825.6987
61	0.314074667	700049.3229
62	0.3143302738	699703.5492
63	0.3141635057	699328.5639
64	0.3137110065	698731.3083
65	0.3136179963	698065.2058
66	0.3131172723	697731.381
67	0.3131663564	697545.9087
68	0.3130572247	697503.8253
69	0.3130542501	697503.8248
70	0.3121609685	696788.3502
71	0.3121877461	696786.7643
72	0.3117160955	696480.3564
73	0.3110707789	695387.2438
74	0.3100315645	693707.8076
75	0.309710489	693001.303
76	0.3096023337	692758.6588
77	0.3089820706	692059.0321
78	0.3082982862	690782.2623
79	0.3079499726	690340.4387
80	0.3079324642	690208.6389
81	0.3078492379	689950.0674
82	0.3078273838	689837.5062
83	0.3076109963	689529.0997
84	0.3078373654	689499.8833
85	0.3077085795	689265.6093
86	0.3075925726	688917.2517
87	0.3076202408	688835.5575
88	0.3073019355	688495.4513
89	0.3071779165	688184.2388
90	0.3070558454	687782.378
91	0.3070432422	687712.8891
92	0.3070486171	687712.8874
93	0.3069726337	687682.2143
94	0.3060391336	686341.3583
95	0.306013057	686066.52
96	0.3054644551	685001.47
97	0.3049826609	684547.2648
98	0.3045736809	683455.8564
99	0.3042490262	682813.2557
