iter	Passed	Remaining
0	188	18658
1	215	10543
2	215	6979
3	246	5905
4	280	5322
5	330	5170
6	359	4772
7	411	4734
8	427	4325
9	464	4178
10	473	3828
11	496	3642
12	502	3365
13	536	3297
14	559	3170
15	587	3085
16	620	3027
17	653	2976
18	653	2788
19	654	2618
20	680	2561
21	687	2436
22	715	2394
23	736	2331
24	791	2374
25	820	2333
26	851	2300
27	885	2277
28	891	2183
29	922	2153
30	946	2107
31	972	2066
32	996	2023
33	1017	1975
34	1024	1901
35	1050	1867
36	1051	1789
37	1073	1751
38	1109	1735
39	1133	1699
40	1136	1635
41	1156	1597
42	1160	1538
43	1163	1481
44	1197	1463
45	1231	1446
46	1274	1437
47	1323	1433
48	1353	1408
49	1381	1381
50	1410	1355
51	1444	1333
52	1445	1281
53	1475	1256
54	1509	1234
55	1523	1197
56	1554	1172
57	1574	1139
58	1593	1107
59	1622	1081
60	1648	1054
61	1679	1029
62	1726	1014
63	1759	989
64	1790	963
65	1819	937
66	1850	911
67	1884	886
68	1909	857
69	1909	818
70	1930	788
71	1933	751
72	1977	731
73	2040	716
74	2069	689
75	2089	659
76	2113	631
77	2134	601
78	2163	575
79	2190	547
80	2201	516
81	2218	487
82	2258	462
83	2297	437
84	2301	406
85	2335	380
86	2379	355
87	2404	327
88	2440	301
89	2475	275
90	2498	247
91	2534	220
92	2537	191
93	2592	165
94	2620	137
95	2645	110
96	2707	83
97	2736	55
98	2768	27
99	2788	0
